Strain : Compressive strain (Extension) gauge length,"100.00000",mm
Strain : Time at removal,,s
Test : Rate 1,"75.00000",mm/min
General : Start date,"9/12/2024"

Time,Extension,Load
(s),(mm),(N)
"0.69200","0.83936","-0.02184"
"0.69300","0.84062","-0.02158"
"0.69400","0.84187","-0.02112"
"0.69500","0.84312","-0.02050"
"0.69600","0.84437","-0.01961"
"0.69700","0.84562","-0.01847"
"0.69800","0.84687","-0.01728"
"0.69900","0.84812","-0.01619"
"0.70000","0.84937","-0.01532"
"0.70100","0.85062","-0.01489"
"0.70200","0.85187","-0.01508"
"0.70300","0.85312","-0.01585"
"0.70400","0.85437","-0.01687"
"0.70500","0.85562","-0.01762"
"0.70600","0.85687","-0.01770"
"0.70700","0.85812","-0.01710"
"0.70800","0.85937","-0.01621"
"0.70900","0.86062","-0.01545"
"0.71000","0.86187","-0.01485"
"0.71100","0.86312","-0.01424"
"0.71200","0.86437","-0.01361"
"0.71300","0.86561","-0.01322"
"0.71400","0.86686","-0.01329"
"0.71500","0.86811","-0.01381"
"0.71600","0.86936","-0.01460"
"0.71700","0.87061","-0.01540"
"0.71800","0.87186","-0.01595"
"0.71900","0.87310","-0.01607"
"0.72000","0.87435","-0.01582"
"0.72100","0.87560","-0.01540"
"0.72200","0.87685","-0.01491"
"0.72300","0.87810","-0.01434"
"0.72400","0.87934","-0.01380"
"0.72500","0.88059","-0.01347"
"0.72600","0.88184","-0.01349"
"0.72700","0.88308","-0.01379"
"0.72800","0.88433","-0.01426"
"0.72900","0.88558","-0.01476"
"0.73000","0.88682","-0.01510"
"0.73100","0.88807","-0.01510"
"0.73200","0.88932","-0.01474"
"0.73300","0.89056","-0.01420"
"0.73400","0.89181","-0.01374"
"0.73500","0.89306","-0.01340"
"0.73600","0.89430","-0.01301"
"0.73700","0.89555","-0.01257"
"0.73800","0.89680","-0.01237"
"0.73900","0.89804","-0.01264"
"0.74000","0.89929","-0.01334"
"0.74100","0.90054","-0.01420"
"0.74200","0.90178","-0.01498"
"0.74300","0.90303","-0.01559"
"0.74400","0.90428","-0.01605"
"0.74500","0.90553","-0.01633"
"0.74600","0.90678","-0.01639"
"0.74700","0.90802","-0.01637"
